Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.768260985 30.140602011),,1,10/1/07,9/30/08,Austin,TX,
Wilshire Homes,,78751,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.680077999 30.421132995),,1,10/1/95,9/30/96,Austin,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2008,,POINT (-97.632653023 30.274082981),,1,10/1/07,9/30/08,Austin,TX,
David Weekley Homes,,78758,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.720890994 30.147196013),,1,10/1/19,9/30/20,Austin,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.690444988 30.224925005),,1,10/1/06,9/30/07,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.879036971 30.205577016),,1,10/1/00,9/30/01,Austin,TX,
Main Street Homes,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.685049976 30.260286997),,1,10/1/05,9/30/06,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2022,,POINT (-97.693613012 30.292605017),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.622073971 30.38434302),,1,10/1/22,9/30/23,Manor,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.650888021 30.355178984),,1,10/1/21,9/30/22,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.752264039 30.314743007),,1,10/1/22,9/30/23,Austin,TX,
Legacy DCS,,78746,0,0,0,1,0,4-star,,Residential,,,Single Family,2016,2024,,POINT (-97.8042007 30.273339),,1,10/1/23,9/30/24,Austin,TX,
M/I Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2023,,POINT (-97.758275037 30.154768014),,1,10/1/22,9/30/23,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.713113718 30.150717297),,1,10/1/22,9/30/23,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.617524023 30.383715006),,1,10/1/22,9/30/23,Manor,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.649131006 30.355940019),,1,10/1/22,9/30/23,Austin,TX,
Taylor Morrison,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.713092923 30.151377911),,1,10/1/22,9/30/23,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2024,,POINT (-97.597389247 30.145885836),,1,10/1/23,9/30/24,Del Valle,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.711297762 30.152866921),,1,10/1/22,9/30/23,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.620403039 30.382442004),,1,10/1/21,9/30/22,Manor,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.713054399 30.149782704),,1,10/1/22,9/30/23,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,0,1,0,4-star,,Residential,,,Single Family,2020,2023,,POINT (-97.644691028 30.307921018),,1,10/1/22,9/30/23,Austin,TX,
Kipp Flores Architects,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2022,,POINT (-97.692251959 30.291906009),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.618838976 30.382783986),,1,10/1/22,9/30/23,Manor,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.650094003 30.354758003),,1,10/1/21,9/30/22,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2023,,POINT (-97.556653972 30.297370004),,1,10/1/22,9/30/23,Manor,TX,
Thurman Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.5269376 30.343604367),,1,10/1/22,9/30/23,Manor,TX,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2023,,POINT (-97.755033 30.15239099),,1,10/1/22,9/30/23,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2022,,POINT (-97.69360396 30.292107007),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.623237839 30.386433311),,1,10/1/22,9/30/23,Manor,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2024,,POINT (-97.694265962 30.292469985),,1,10/1/23,9/30/24,Austin,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.809839093 30.117521652),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.618576036 30.383571005),,1,10/1/22,9/30/23,Manor,TX,
Austin Habitat for Humanity,,78724,0,0,0,1,0,4-star,,Residential,,,Single Family,2020,2023,,POINT (-97.646239739 30.306193782),,1,10/1/22,9/30/23,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.649642973 30.356101999),,1,10/1/21,9/30/22,Austin,TX,
Empire Communities,,78732,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2024,,POINT (-97.691213022 30.292834011),,1,10/1/23,9/30/24,Austin,TX,
Prominence Homes,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2023,,POINT (-97.654909993 30.372873014),,1,10/1/22,9/30/23,Austin,TX,
Lennar,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.808253978 30.125822998),,1,10/1/22,9/30/23,Austin,TX,
Taylor Morrison,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.717622974 30.141713996),,1,10/1/22,9/30/23,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2022,,POINT (-97.551858014 30.289311013),,1,10/1/21,9/30/22,Manor,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.620463976 30.382338991),,1,10/1/21,9/30/22,Manor,TX,
M/I Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2023,,POINT (-97.758812987 30.155001995),,1,10/1/22,9/30/23,Austin,TX,
Michael Hsu Office of Architecture,,78723,0,0,0,1,0,4-star,,Residential,,,Single Family,2016,2022,,POINT (-97.695962963 30.299664005),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.617502984 30.385981011),,1,10/1/22,9/30/23,Manor,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.753635 30.35873),,1,10/1/22,9/30/23,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.725325021 30.15861602),,1,10/1/21,9/30/22,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.593420908 30.142801201),,1,10/1/22,9/30/23,Del Valle,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.595244117 30.149862117),,1,10/1/22,9/30/23,Del Valle,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.620337996 30.382536007),,1,10/1/21,9/30/22,Manor,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.811039453 30.118381502),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.620670003 30.385725992),,1,10/1/22,9/30/23,Manor,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.752264039 30.314743007),,1,10/1/21,9/30/22,Austin,TX,
Lennar,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.838136 30.1532581),,1,10/1/22,9/30/23,Austin,TX,
AHA Dream Homes,,78653,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.550081973 30.291759996),,1,10/1/22,9/30/23,Manor,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.716230443 30.154747243),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.62051301 30.384977991),,1,10/1/22,9/30/23,Manor,TX,
Fortunate Foundations,,78721,0,0,0,0,1,5-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.692778007 30.281802002),,1,10/1/22,9/30/23,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.593216001 30.147584011),,1,10/1/21,9/30/22,Del Valle,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.677125 30.336325),,1,10/1/22,9/30/23,Austin,TX,
PulteGroup,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.582719008 30.328481994),,1,10/1/22,9/30/23,Manor,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.620970997 30.388245005),,1,10/1/22,9/30/23,Manor,TX,
Avi Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2024,,POINT (-97.715707038 30.159492013),,1,10/1/23,9/30/24,Austin,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.809839093 30.117521652),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.620817021 30.385483001),,1,10/1/21,9/30/22,Manor,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.752975997 30.315218009),,1,10/1/22,9/30/23,Austin,TX,
Prominence Homes,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2022,,POINT (-97.654909993 30.372873014),,1,10/1/21,9/30/22,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.712246942 30.151979355),,1,10/1/22,9/30/23,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,0,1,0,4-star,,Residential,,,Single Family,2020,2022,,POINT (-97.646014028 30.307744998),,1,10/1/21,9/30/22,Austin,TX,
Perry Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.708551412 30.149924865),,1,10/1/22,9/30/23,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2022,,POINT (-97.593551026 30.145951007),,1,10/1/21,9/30/22,Del Valle,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.752264039 30.314743007),,1,10/1/22,9/30/23,Austin,TX,
Pacesetter Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.716057989 30.148183988),,1,10/1/21,9/30/22,Austin,TX,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2023,,POINT (-97.755033 30.15239099),,1,10/1/22,9/30/23,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.725325021 30.15861602),,1,10/1/22,9/30/23,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2024,,POINT (-97.752264039 30.314743007),,1,10/1/23,9/30/24,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.692493022 30.293472),,1,10/1/22,9/30/23,Austin,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.903648564 30.144646594),,1,10/1/21,9/30/22,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.593692009 30.146678011),,1,10/1/22,9/30/23,Del Valle,TX,
Lennar,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.838136 30.1532581),,1,10/1/22,9/30/23,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2023,,POINT (-97.550971963 30.29008701),,1,10/1/22,9/30/23,Manor,TX,
Thurman Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2022,,POINT (-97.552914972 30.292791012),,1,10/1/21,9/30/22,Manor,TX,
Urban Intown-Homes,,78723,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.679510963 30.292099002),,1,10/1/21,9/30/22,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.595884931 30.147472987),,1,10/1/22,9/30/23,Del Valle,TX,
Taylor Morrison,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.713259851 30.14899512),,1,10/1/22,9/30/23,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2023,,POINT (-97.552275014 30.291785016),,1,10/1/22,9/30/23,Manor,TX,
LGI Homes Texas,,78653,0,1,0,0,0,2-star,,Residential,,,Single Family,2020.1,2024,,POINT (-97.556955 30.34186),,1,10/1/23,9/30/24,Manor,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.752264039 30.314743007),,1,10/1/22,9/30/23,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.623564344 30.385946223),,1,10/1/22,9/30/23,Manor,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.594706066 30.143547831),,1,10/1/22,9/30/23,Del Valle,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.725325021 30.15861602),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.621157529 30.386118792),,1,10/1/22,9/30/23,Manor,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.595884931 30.147472987),,1,10/1/22,9/30/23,Del Valle,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2023,,POINT (-97.551655005 30.289022005),,1,10/1/22,9/30/23,Manor,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.618533036 30.381735997),,1,10/1/22,9/30/23,Manor,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.752264039 30.314743007),,1,10/1/21,9/30/22,Austin,TX,
Empire Communities,,78732,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2024,,POINT (-97.691208999 30.292710001),,1,10/1/23,9/30/24,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.710227767 30.153070315),,1,10/1/22,9/30/23,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.752264039 30.314743007),,1,10/1/22,9/30/23,Austin,TX,
PulteGroup,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.58318697 30.330241984),,1,10/1/21,9/30/22,Manor,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2022,,POINT (-97.552135958 30.289983996),,1,10/1/21,9/30/22,Manor,TX,
Michael Hsu Office of Architecture,,78723,0,0,0,1,0,4-star,,Residential,,,Single Family,2016,2022,,POINT (-97.696058013 30.299743004),,1,10/1/21,9/30/22,Austin,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.809998793 30.119484244),,1,10/1/22,9/30/23,Austin,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.810993197 30.118802974),,1,10/1/22,9/30/23,Austin,TX,
Lennar,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2022,,POINT (-97.808253978 30.125822998),,1,10/1/21,9/30/22,Austin,TX,
The Muskin Company,,78723,0,0,0,1,0,4-star,,Residential,,,Single Family,2020,2023,,POINT (-97.694771978 30.291476017),,1,10/1/22,9/30/23,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2023,,POINT (-97.692021959 30.291473),,1,10/1/22,9/30/23,Austin,TX,
Taylor Morrison,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.719414019 30.142722004),,1,10/1/21,9/30/22,Austin,TX,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2022,,POINT (-97.755033 30.15239099),,1,10/1/21,9/30/22,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.726369953 30.159346241),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.62131608 30.387691808),,1,10/1/22,9/30/23,Manor,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.648900001 30.355263013),,1,10/1/21,9/30/22,Austin,TX,
Terrata Homes,,78653,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2024,,POINT (-97.549289967 30.291017988),,1,10/1/23,9/30/24,Manor,TX,
Urban Intown-Homes,,78723,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.679510963 30.292099002),,1,10/1/21,9/30/22,Austin,TX,
Gehan Homes,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.593280039 30.145421019),,1,10/1/22,9/30/23,Del Valle,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.61872297 30.385039011),,1,10/1/22,9/30/23,Manor,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.71982096 30.143009001),,1,10/1/21,9/30/22,Austin,TX,
Pacesetter Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.715787002 30.146463979),,1,10/1/21,9/30/22,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.618644013 30.383051997),,1,10/1/22,9/30/23,Manor,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2023,,POINT (-97.693602032 30.292030019),,1,10/1/22,9/30/23,Austin,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.809862572 30.119480569),,1,10/1/22,9/30/23,Austin,TX,
Lennar,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.838136 30.1532581),,1,10/1/22,9/30/23,Austin,TX,
Riverside Homes,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.764547969 30.230200994),,1,10/1/22,9/30/23,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.618461036 30.381834987),,1,10/1/22,9/30/23,Manor,TX,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2022,,POINT (-97.759586972 30.156069012),,1,10/1/21,9/30/22,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2024,,POINT (-97.752264039 30.314744013),,1,10/1/23,9/30/24,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.618236988 30.385810984),,1,10/1/22,9/30/23,Manor,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.617050026 30.384563003),,1,10/1/22,9/30/23,Manor,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2024,,POINT (-97.556955 30.34186),,1,10/1/23,9/30/24,Manor,TX,
Saldana Homes,,78702,0,1,0,0,0,2-star,,Residential,,,Single Family,2020.1,2024,,POINT (-97.70438996 30.264361985),,1,10/1/23,9/30/24,,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.716681016 30.154553019),,1,10/1/21,9/30/22,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.716681016 30.154553019),,1,10/1/21,9/30/22,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.649641967 30.354331993),,1,10/1/21,9/30/22,Austin,TX,
Newcastle Homes,,78704,0,0,0,1,0,4-star,,Residential,,,Single Family,2020.1,2024,,POINT (-97.769889002 30.255947015),,1,10/1/23,9/30/24,,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.811047524 30.118538862),,1,10/1/22,9/30/23,Austin,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.61915598 30.386937009),,1,10/1/22,9/30/23,Manor,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2022,,POINT (-97.592030967 30.145421983),,1,10/1/21,9/30/22,Del Valle,TX,
Pacesetter Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.718650008 30.151241999),,1,10/1/21,9/30/22,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.650033989 30.355719994),,1,10/1/21,9/30/22,Austin,TX,
David Weekley Homes,,,,,,,,,,,,,,,,,,,,,,,,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.619916973 30.381888002),,1,10/1/21,9/30/22,Manor,TX,
Empire Communities,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2023,,POINT (-97.692719893 30.292182546),,1,10/1/22,9/30/23,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2023,,POINT (-97.55194703 30.291495002),,1,10/1/22,9/30/23,Manor,TX,
PulteGroup,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.582407034 30.330071999),,1,10/1/22,9/30/23,Manor,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.618309994 30.382044995),,1,10/1/22,9/30/23,Manor,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2022,,POINT (-97.621116004 30.384994),,1,10/1/21,9/30/22,Manor,TX,
Empire Communities,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2023,,POINT (-97.692722255 30.292261896),,1,10/1/22,9/30/23,Austin,TX,
Lennar,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.838136 30.1532581),,1,10/1/22,9/30/23,Austin,TX,
Taylor Morrison,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.708651552 30.149746177),,1,10/1/22,9/30/23,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.752264039 30.314743007),,1,10/1/22,9/30/23,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2023,,POINT (-97.752264039 30.314743007),,1,10/1/22,9/30/23,Austin,TX,
Thurman Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2020.1,2023,,POINT (-97.5269376 30.343604367),,1,10/1/22,9/30/23,Manor,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2023,,POINT (-97.595244117 30.149862117),,1,10/1/22,9/30/23,Del Valle,TX,
KB Home,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2020,2023,,POINT (-97.617633994 30.385773014),,1,10/1/22,9/30/23,Manor,TX,
